"folderName","serialNo","drawingMachine","documentCategory","documentCategoryName","documentType","documentTypeName","displayName","name","versionNo","referenceNumber","stockNumber","customerAccess","isActive","imagePath","isFileETAGAlreadyExist","isMachineDrawingAlreadyExists","isMachineDrawingAttached","propertiesNotFound"
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings","64c8b9a852970e642eb193ef","Touchscreen","34547 Touchscreen.pdf","34547 Touchscreen.pdf",1,"34547","065_",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/34547 Touchscreen.pdf",false,false,false,
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings","64c8ba3352970e642eb195af","Lubricator","35601 Lubricator (7600) V2.pdf","35601 Lubricator (7600) V2.pdf","2","35601","002o",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/35601 Lubricator (7600) V2.pdf",false,false,false,
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings","64c8baa352970e642eb1984e","Guide Base ","35602 Guide Base (7600) V2.pdf","35602 Guide Base (7600) V2.pdf","2","35602","003ce",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/35602 Guide Base (7600) V2.pdf",false,false,false,
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings","64c8bb1052970e642eb199b3","Guide Insert ","35602f Guide Insert (7600)(75 95 100 145 150x50Section) V2.pdf","35602f Guide Insert (7600)(75 95 100 145 150x50Section) V2.pdf","2","35602f","003co",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/35602f Guide Insert (7600)(75 95 100 145 150x50Section) V2.pdf",false,false,false,
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings",,"Pre Punch","35603e Pre Punch (7600)(Ø34.1ServiceHole)(Ø13.0(2)BoltHole)(1.4Mat) V1.pdf","35603e Pre Punch (7600)(Ø34.1ServiceHole)(Ø13.0(2)BoltHole)(1.4Mat) V1.pdf","1","35603e","004ss",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/35603e Pre Punch (7600)(Ø34.1ServiceHole)(Ø13.0(2)BoltHole)(1.4Mat) V1.pdf",false,false,false,"documentType"
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings",,"Pre Punch","35603l Pre Punch (7600)(Ø60.0ServiceHole)(1.4Mat) V1.pdf","35603l Pre Punch (7600)(Ø60.0ServiceHole)(1.4Mat) V1.pdf","1","35603l","004ul",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/35603l Pre Punch (7600)(Ø60.0ServiceHole)(1.4Mat) V1.pdf",false,false,false,"documentType"
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings","64c8bdb6974ed57b17f5ad28","Roller ","35604aa Roller (7600)(Stage5)(65 75 95 100 145 150 200 250 x50Section))(0.2Clearance)(1.6Max) V3.pdf","35604aa Roller (7600)(Stage5)(65 75 95 100 145 150 200 250 x50Section))(0.2Clearance)(1.6Max) V3.pdf","3","35604aa","011xk",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/35604aa Roller (7600)(Stage5)(65 75 95 100 145 150 200 250 x50Section))(0.2Clearance)(1.6Max) V3.pdf",false,false,false,
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings","64c8bdb6974ed57b17f5ad28","Roller ","35604ab Roller (7600)(Stage6)(65 75 95 100 145 150 200 250 x50Section))(0.2Clearance)(1.6Max) V3.pdf","35604ab Roller (7600)(Stage6)(65 75 95 100 145 150 200 250 x50Section))(0.2Clearance)(1.6Max) V3.pdf","3","35604ab","011xl",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/35604ab Roller (7600)(Stage6)(65 75 95 100 145 150 200 250 x50Section))(0.2Clearance)(1.6Max) V3.pdf",false,false,false,
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings","64c8bdb6974ed57b17f5ad28","Roller ","35604ac Roller (7600)(Stage7)(65 75 95 100 145 150 200 250 x50Section))(0.2Clearance)(1.6Max) V3.pdf","35604ac Roller (7600)(Stage7)(65 75 95 100 145 150 200 250 x50Section))(0.2Clearance)(1.6Max) V3.pdf","3","35604ac","011xm",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/35604ac Roller (7600)(Stage7)(65 75 95 100 145 150 200 250 x50Section))(0.2Clearance)(1.6Max) V3.pdf",false,false,false,
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings","64c8bdb6974ed57b17f5ad28","Roller ","35604g Roller (7600)(Stage8)(0.2Clearance)(1.6Max) V3.pdf","35604g Roller (7600)(Stage8)(0.2Clearance)(1.6Max) V3.pdf","3","35604g","011tc",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/35604g Roller (7600)(Stage8)(0.2Clearance)(1.6Max) V3.pdf",false,false,false,
"Assembly Drawings","20731","64c8aaeb52970e642eb18313","647d8375e85ca661138046b9","Assembly Drawings","64c8bdb6974ed57b17f5ad28","Roller ","35604h Roller (7600)(Stage9)(0.2Clearance)(1.6Max) V3.pdf","35604h Roller (7600)(Stage9)(0.2Clearance)(1.6Max) V3.pdf","3","35604h","011td",false,true,"../Drawings-Documents/20731 - Frama 7600-(75 100 150x50Section)(1.6Max)-Finish Profiles/Assembly Drawings/35604h Roller (7600)(Stage9)(0.2Clearance)(1.6Max) V3.pdf",false,false,false,
